charla y fumigación contra zika en buenos aires. lobuenocontinua  aquilinoserrata2016 trabajando con la comunidad. https//t.co/ldgcb7lzxq|None
[audio] two years on from kiev's maidan coup @marksleboda1 us 'allies' arming &amp; training ukraine neo-nazi battalions https//t.co/ajq9dfl00y|None
do your part to help fight the zika virus- residents urged  https//t.co/0zhbxminky|None
potomac oil spill came from common source. coast guard won’t say who. potomac      source.   won’t press https//t.co/f62amsegiq|None
rt @valentinneuneu qui se rappelle de mohamed qui voulait mettre un coup de machette à celui qui voulais prendre sa chèvre? 😂 kohlanta|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/csluiislby|None
he'll find you in the hurricane|None
rt @alexandre_drd les vrais n'oublient pas namadia et son coup de maître. kohlanta https//t.co/gxcfwfmaxq|None
bon du coup est ce que ça vaut vraiment le coup de réviser|None
'who cares about the canadian laws,' says muslim refugee in canada https//t.co/mxn0azfggv|None
rt @orenkessler "assad regime's russian-aided military campaign and the onset of spring augur another mass refugee flow into the eu" https…|None
rt @p_hannam csiro chief larry marshall points his ship into a scientific storm https//t.co/ucgbnwhcpd csirocuts climate https//t.co…|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/a16cguertz|None
rt @humzayousaf great scheme being run by @bridgesprogs - helping to get syrian refugee doctors back into work in our nhs https//t.co/zw0…|None
rt @jornalsul21 oms diz que testes em larga escala de vacina contra vírus zika devem iniciar em 18 meses https//t.co/ti3dss3lk5|None
cops kill muslim refugee after machete attack at ohio deli https//t.co/0g1tkhcfy3 via @cbsnews @cnn @foxnews immigration trump tcot|None
rt @mariagallucci on heels of paris climate talks, bp's bob dudley urges global carbon price @ibtimes https//t.co/1w9tgsstwz https//t.co…|None
rt @tedcruz we're in this fight against radical islamic terrorism together. https//t.co/kyhsksvsup|None
@narkotikmodz joer ahora como me sacare ka nuke?|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/qfbyodyncu|None
cops kill muslim refugee after machete attack at ohio deli https//t.co/ba3x0tynlo via @cbsnews @cnn @foxnews immigration trump tcot|None
rt @offencepolice without the protection of the eu's global warming policies, britain would be under water within a matter of days. https…|None
rt @minsaude você sabe quais são os sintomas da dengue, zika e chikungunya? a melhor forma de prevenção é o combateaedes!https//t.co/2v…|None
boko haram chibok girls' possible location identified - air force via @ameboapp https//t.co/3qlfjh7hch|None
il a prit un coup de vieux william scheller gênant ça sent l'hommage fenestre de son vivant victoires2016|None
i liked a @youtube video from @lokistrikes https//t.co/dtv5uofyry lokistrikes 98. deadpool 2, power rangers, civil-war, concurso y|None
rt @weknowwhatsbest obama flew from a fundraiser in san jose to ellen degeneres in hollywood to golf in palm springs. yay! global warming …|None
me re puede tsunami 😍|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/paqajv0dgu|None
rt @adityarajkaul shameless leftists in jnu portray terrorist afzal guru who killed innocents as a martyr. will they support isis too? htt…|None
rt @excellance_inc legendary filmmaker john russo offers advice for surviving a zombie pandemichttps//t.co/1dum87omat https//t.co/ojxcv…|None
@joyceodukoya act 2 scene 1 the ammunition gej bought is designed not to kill boko haram fighters|None
rt @mikkil isis terrorist admits he planned driveby shootings on mopeds on streets o london https//t.co/ddueacr8p5 another 4 muslims @dea…|None
rush to develop zika vaccine https//t.co/q8crzpowzh|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/i0mgiynoqh|None
rt @realfriendsband i'm pretty sure the show sold out. all proceeds will be going to the water crisis in flint, michigan. thanks everybody…|None
rt @oral_official 【広島公演終了！】唇ツーマンtour3本目終了！a flood of circleさん、お越し頂いたみなさん、ありがとうございました！！今日もとっても楽しい1日でした！photo by viola kam唇ツーマン htt…|None
que teu pai tem zika virus|None
rt @alimaadelat lambo drives through a flood! nah this wasn't me— mine's a convertible... but this is totally some shit i would do 😂 https…|None
who is predicting 3 million to 4 million cases  of zika in the americas over the next year. but don’ https//t.co/8txxug3yrw|None
another radical somali islamist in columbus oh terrorist! https//t.co/ypqroqfvl6|None
rt @joneefry sanders real unemployment 10% https//t.co/ivoqgyzy6m|None
merkel hosts clooney for talks on refugee policyhttps//t.co/zapzbp4rtb|None
rt @therebeltv .@ezralevant cdn media finally picks up our refugee camp scoop. but... https//t.co/ijbha6lk10 cdnpoli tcot https//t.co…|None
npafp= non polio acute flaccid paralysis = indistinguishable from polio|{u'full_name': u'Live Oak, CA', u'url': u'https://api.twitter.com/1.1/geo/id/5518a25c736fbc3e.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-122.001081, 36.967406], [-122.001081, 37.014937], [-121.965482, 37.014937], [-121.965482, 36.967406]]]}, u'country_code': u'US', u'attributes': {}, u'id': u'5518a25c736fbc3e', u'name': u'Live Oak'}
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/odzkayeopv|None
rt @iran_policy saudiarabia iran regime must stop supporting terrorism in syria and yemenhttps//t.co/i46b2nzqx5 no2rouhani https/…|None
ddos encore pour 2$ vraiment que des rats|None
rt @serlinakyle "tony stark é o vilão de civil war" https//t.co/2cxlgfkaqj|None
thames tidal barrier…an absolute engineering marvel  https//t.co/23d9cpfj64|None
rt @weknowwhatsbest obama flew from a fundraiser in san jose to ellen degeneres in hollywood to golf in palm springs. yay! global warming …|None
du coup je suis allÉe au foot !|None
rt @jacobinmag abraham lincoln was born this day in 1809. as president during the civil war, he had a friend in karl marx. https//t.co/ha…|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/prj82wa8o9|None
rt @docheelfire i knew the ncga was trying to take our state back to the 19th century but this is a little much. https//t.co/tdaiffxz1p|None
just when you thought the drought was over.. a real reality check comes along (not that i thought it was over, i... https//t.co/va8imh7ibl|None
rt @spinitg 530 long journey home 9/4 6 wrap star 4s 630 ancient sands 5s 700 crazy tornado 730 sister slew 6s 800 political party 5/…|None
@mush_cg du coup elle participe à kohlanta pour lui rendre hommage. 😂|None
be prepared flood alert for battersea, kingston, richmond and walton https//t.co/ujsio3hz8c wiw https//t.co/bvw0rint9k|None
antes morte do que dengue, pelo menos eu n sofro|None
new new app puts an earthquake detector in your pocket https//t.co/ixaclyqfds|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/byas5dt1io|None
